id,skills
93367114,python
93367114,excel
93367114,dwh
93367114,tableau
93367114,powerpoint
93367114,sql
93434318,bi
93434318,статистика
93434318,power bi
93434318,etl
93434318,python
93434318,английский язык
93434318,big data
93434318,power bi
93434318,hadoop
93434318,tableau
93434318,sql
93434318,dax
93434318,airflow
93434318,spark
93453194,
93453194,деловая переписка
93453194,управление проектами
93453194,аналитические исследования
93453194,atlassian jira
93453194,powerpoint
93453194,atlassian confluence
93453194,excel
93453194,sql
93453194,работа с базами данных
93453194,аналитическое мышление
93453407,аналитические исследования
93453407,бизнес-анализ
93453407,powerpoint
93453407,excel
93453407,sql
93453407,аналитическое мышление
93456799,
93456799,bi
93456799,linux
93456799,power bi
93456799,numpy
93456799,business intelligence systems
93456799,python
93456799,pandas
93456799,excel
93456799,
93456799,tableau
93456799,vba
93456799,sql
93456799,power query
93517336,pytorch
93517336,субд
93517336,rust
93517336,cassandra
93517336,postgresql
93517336,tensorflow
93549021,spss
93549021,статистика
93549021,статистический анализ
93549021,прогнозирование
93549021,survey to go
93549021,excel
93549021,excel
93549021,surveystat
93549021,работа с базами данных
93549021,аналитическое мышление
93553355,excel
93553355,power query
93553355,python
93557671,bi
93557671,статистика
93557671,английский язык
93557671,python
93557671,tableau
93557671,clickhouse
93557671,hadoop
93557671,excel
93557671,sql
93557671,git
93557671,airflow
93557671,postgresql
93587165,power bi
93587165,sql
93587165,статистика
93587165,tableau
93589412,python
93589412,hadoop
93589412,управленческая отчетность
93589412,sql
93589412,оценка рисков
93594048,keras
93594048,scipy
93594048,pytorch
93594048,аналитик
93594048,статистика
93594048,numpy
93594048,seaborn
93594048,python
93594048,pandas
93594048,математический анализ
93594048,data scientist
93594048,scikit-learn
93594048,plotly
93594048,tensorflow
93600254,
93600254,bi
93600254,etl
93600254,python
93600254,excel
93600254,sql
93600254,аналитическое мышление
93612863,bi
93612863,etl
93612863,numpy
93612863,статистический анализ
93612863,python
93612863,pandas
93612863,статистика
93612863,power bi
93612863,математическая статистика
93612863,прогнозирование
93612863,excel
93612863,sql
93626854,python
93626854,clickhouse
93626854,llm
93626854,прогнозирование
93626854,hadoop
93626854,субд
93626854,sql
93626854,git
93626854,nlp
93626887,pandas
93626887,spark
93626887,numpy
93626887,python
93627115,pytorch
93627115,nlp
93627271,pytorch
93627271,etl
93627271,python
93627271,llm
93627271,hadoop
93627271,sql
93627271,spark
93656338,python
93656338,sql
93656338,power bi
93656338,excel
93656754,английский язык
93656754,python
93656754,clickhouse
93656754,llm
93656754,dwh
93656754,sql
93656754,nlp
93670623,sql
93670623,dwh
93679359,работа с большим объемом информации
93679359,статистический анализ
93679359,powerpoint
93679359,прогнозирование
93679359,excel
93679359,excel
93679359,подготовка презентаций
93679359,аналитический склад ума
93717522,ms access
93717522,powerpoint
93717522,грамотность
93717522,работа с базами данных
93740369,
93740369,erp
93740369,финансовый анализ
93740369,планирование продаж
93740369,системное мышление
93740369,excel
93740369,excel
93740369,e-commerce
93740369,аналитическое мышление
93766633,bi
93766633,python
93766633,excel
93766633,powerpoint
93766633,sql
93776339,python
93776339,ms sql
93776339,aws
93776339,
93776339,docker
93776339,sql
93776339,git
93776341,python
93776341,ms sql
93776341,aws
93776341,
93776341,docker
93776341,sql
93776341,git
93789332,numpy
93789332,python
93789332,pandas
93789332,clickhouse
93789332,data analysis
93807631,python
93807631,бизнес-анализ
93807631,прогнозирование
93807631,анализ рисков
93807631,excel
93807631,excel
93807631,vba
93807631,sql
93837535,
93837535,pytorch
93837535,linux
93837535,аналитика
93837535,python
93837535,
93837535,
93837535,data analysis
93837535,
93837535,docker
93837535,git
93837535,airflow
93837535,tensorflow
93862562,sql
93862562,power bi
93862562,python
93867318,статистика
93867318,power bi
93867318,английский язык
93867318,python
93867318,ms sql
93867318,sql
93878541,sql
93884808,статистика
93884808,numpy
93884808,английский язык
93884808,python
93884808,pandas
93884808,математическая статистика
93884808,прогнозирование
93884808,tableau
93884808,sql
93884808,airflow
